index,prediction,predicted_side,actual,correct,confidence,reliability,publish,entry,future
1157,LONG,LONG,SHORT,False,60.74,74.64,True,65425.4,65281.9
1158,LONG,LONG,SHORT,False,59.74,74.64,True,65403.8,65236.3
1159,LONG,LONG,SHORT,False,60.13,74.64,True,65382.9,65337.4
1160,LONG,LONG,SHORT,False,57.96,74.64,True,65361.8,65318.8
1161,LONG,LONG,SHORT,False,57.23,74.64,True,65356.5,65326.8
1162,LONG,LONG,SHORT,False,58.29,74.64,True,65377.5,65326.9
1163,LONG,LONG,SHORT,False,55.77,73.45,True,65383.1,65305.1
1164,LONG,LONG,SHORT,False,47.92,71.07,True,65350.0,65267.8
1165,LONG,LONG,SHORT,False,43.71,71.07,True,65304.3,65244.2
1166,LONG,LONG,SHORT,False,39.15,71.07,True,65309.2,65273.1
1167,LONG,LONG,SHORT,False,35.01,71.07,True,65303.8,65278.2
1168,SHORT,SHORT,LONG,False,38.35,71.07,True,65276.2,65284.5
1169,SHORT,SHORT,LONG,False,37.13,71.07,True,65281.9,65282.3
1170,SHORT,SHORT,LONG,False,38.39,71.07,True,65236.3,65287.9
1171,SHORT,SHORT,SHORT,True,47.88,71.07,True,65337.4,65295.8
1172,SHORT,SHORT,LONG,False,53.77,74.64,True,65318.8,65356.0
1173,LONG,LONG,LONG,True,64.39,74.64,True,65326.8,65463.6
1174,LONG,LONG,LONG,True,64.19,74.64,True,65326.9,65427.6
1175,LONG,LONG,LONG,True,58.96,71.07,True,65305.1,65425.2
1176,LONG,LONG,LONG,True,53.16,71.07,True,65267.8,65421.5
1177,SHORT,SHORT,LONG,False,37.66,71.07,True,65244.2,65463.7
1178,LONG,LONG,LONG,True,36.35,71.07,True,65273.1,65428.8
1179,LONG,LONG,LONG,True,37.96,71.07,True,65278.2,65415.1
1180,LONG,LONG,LONG,True,36.48,71.07,True,65284.5,65427.9
1181,LONG,LONG,LONG,True,35.49,71.07,True,65282.3,65441.6
1182,LONG,LONG,LONG,True,36.62,71.07,True,65287.9,65513.1
1183,LONG,LONG,LONG,True,39.55,71.07,True,65295.8,65594.9
1184,LONG,LONG,LONG,True,50.08,71.07,True,65356.0,65740.0
1185,LONG,LONG,LONG,True,55.51,73.45,True,65463.6,65693.9
1186,LONG,LONG,LONG,True,54.98,74.64,True,65427.6,65613.4
1187,LONG,LONG,LONG,True,55.16,74.64,True,65425.2,65613.7
1188,LONG,LONG,LONG,True,48.38,71.07,True,65421.5,65534.6
1189,LONG,LONG,SHORT,False,57.52,74.64,True,65463.7,65458.1
1190,LONG,LONG,SHORT,False,53.98,74.64,True,65428.8,65348.4
1191,LONG,LONG,LONG,True,50.48,73.45,True,65415.1,65423.4
1192,LONG,LONG,LONG,True,51.47,73.45,True,65427.9,65471.4
1193,LONG,LONG,LONG,True,48.32,71.07,True,65441.6,65470.0
1194,LONG,LONG,SHORT,False,50.26,71.07,True,65513.1,65406.1
1195,LONG,LONG,SHORT,False,57.3,73.45,True,65594.9,65460.1
1196,LONG,LONG,SHORT,False,60.91,74.64,True,65740.0,65410.1
1197,LONG,LONG,SHORT,False,59.63,74.64,True,65693.9,65385.6
1198,LONG,LONG,SHORT,False,53.95,74.64,True,65613.4,65326.1
1199,LONG,LONG,SHORT,False,53.93,74.64,True,65613.7,65363.1
1200,LONG,LONG,SHORT,False,51.46,74.64,True,65534.6,65375.1
1201,LONG,LONG,SHORT,False,42.84,71.07,True,65458.1,65418.6
1202,SHORT,SHORT,LONG,False,54.37,73.45,True,65348.4,65412.6
1203,SHORT,SHORT,SHORT,True,55.37,74.64,True,65423.4,65398.3
1204,SHORT,SHORT,SHORT,True,54.67,74.64,True,65471.4,65300.0
1205,SHORT,SHORT,SHORT,True,54.87,74.64,True,65470.0,65274.6
1206,SHORT,SHORT,SHORT,True,36.5,71.07,True,65406.1,65173.7
1207,SHORT,SHORT,SHORT,True,57.49,74.64,True,65460.1,65100.4
1208,SHORT,SHORT,SHORT,True,36.53,71.07,True,65410.1,65015.1
1209,SHORT,SHORT,SHORT,True,39.16,71.07,True,65385.6,64971.5
1210,SHORT,SHORT,SHORT,True,41.52,71.07,True,65326.1,64944.7
1211,SHORT,SHORT,SHORT,True,38.18,71.07,True,65363.1,64941.9
1212,SHORT,SHORT,SHORT,True,36.11,71.07,True,65375.1,64963.4
1213,SHORT,SHORT,SHORT,True,35.23,71.07,True,65418.6,65016.5
1214,SHORT,SHORT,SHORT,True,37.49,71.07,True,65412.6,65050.1
1215,SHORT,SHORT,SHORT,True,37.48,71.07,True,65398.3,65060.9
1216,SHORT,SHORT,SHORT,True,41.61,71.07,True,65300.0,65098.0
1217,SHORT,SHORT,SHORT,True,42.03,71.07,True,65274.6,65088.1
1218,SHORT,SHORT,SHORT,True,42.56,71.07,True,65173.7,65086.8
1219,SHORT,SHORT,SHORT,True,58.33,73.53,True,65100.4,65021.2
1220,SHORT,SHORT,SHORT,True,59.02,73.53,True,65015.1,64973.5
1221,SHORT,SHORT,SHORT,True,59.01,73.53,True,64971.5,64941.6
1222,SHORT,SHORT,LONG,False,62.03,73.53,True,64944.7,64984.7
1223,SHORT,SHORT,LONG,False,60.7,73.53,True,64941.9,64985.4
1224,SHORT,SHORT,LONG,False,61.55,73.53,True,64963.4,64987.8
1225,SHORT,SHORT,SHORT,True,56.84,73.53,True,65016.5,64983.2
1226,SHORT,SHORT,SHORT,True,53.58,73.53,True,65050.1,64990.0
1227,SHORT,SHORT,SHORT,True,50.59,73.53,True,65060.9,64994.4
1228,SHORT,SHORT,SHORT,True,42.32,69.96,True,65098.0,64890.0
1229,SHORT,SHORT,SHORT,True,40.74,69.96,True,65088.1,64927.8
1230,SHORT,SHORT,SHORT,True,40.21,69.96,True,65086.8,64969.5
1231,SHORT,SHORT,SHORT,True,43.19,69.96,True,65021.2,64944.0
1232,SHORT,SHORT,SHORT,True,47.72,69.96,True,64973.5,64968.6
1233,SHORT,SHORT,LONG,False,49.09,69.96,True,64941.6,65004.0
1234,SHORT,SHORT,LONG,False,51.01,72.34,True,64984.7,65011.9
1235,SHORT,SHORT,LONG,False,50.29,72.34,True,64985.4,64997.8
1236,SHORT,SHORT,SHORT,True,49.34,72.34,True,64987.8,64954.8
1237,SHORT,SHORT,SHORT,True,52.75,73.53,True,64983.2,64979.7
1238,SHORT,SHORT,SHORT,True,50.24,73.53,True,64990.0,64957.0
