timestamp,open,high,low,close,volume
2026-07-19 06:45:00,64705.1,64712.3,64670.9,64683.0,86.738
2026-07-19 06:50:00,64683.1,64695.6,64678.5,64687.2,53.387
2026-07-19 06:55:00,64687.2,64693.3,64682.2,64682.3,53.479
2026-07-19 07:00:00,64682.2,64697.4,64678.1,64678.2,77.931
2026-07-19 07:05:00,64678.1,64678.1,64666.0,64666.0,131.962
2026-07-19 07:10:00,64666.0,64666.5,64659.2,64664.7,87.208
2026-07-19 07:15:00,64664.8,64675.0,64661.3,64675.0,68.455
2026-07-19 07:20:00,64674.9,64691.9,64674.9,64691.9,98.117
2026-07-19 07:25:00,64691.9,64698.6,64684.9,64696.1,99.533
2026-07-19 07:30:00,64696.2,64696.2,64681.4,64692.5,91.81
2026-07-19 07:35:00,64692.4,64729.2,64686.0,64717.7,188.266
2026-07-19 07:40:00,64717.6,64759.3,64717.6,64744.3,248.693
2026-07-19 07:45:00,64744.3,64744.3,64687.3,64690.6,207.559
2026-07-19 07:50:00,64690.7,64709.4,64684.1,64689.5,187.562
2026-07-19 07:55:00,64689.5,64698.9,64643.4,64692.2,431.291
2026-07-19 08:00:00,64692.1,64698.0,64645.0,64670.0,213.387
2026-07-19 08:05:00,64669.9,64670.3,64638.7,64664.0,232.728
2026-07-19 08:10:00,64664.1,64706.5,64654.0,64678.7,284.522
2026-07-19 08:15:00,64678.7,64678.7,64628.4,64637.9,165.011
2026-07-19 08:20:00,64637.8,64640.6,64600.0,64631.5,296.6
2026-07-19 08:25:00,64631.5,64654.9,64630.7,64636.5,162.701
2026-07-19 08:30:00,64636.5,64653.2,64636.5,64636.7,101.519
2026-07-19 08:35:00,64636.6,64638.8,64610.0,64627.6,133.846
2026-07-19 08:40:00,64627.7,64638.1,64616.7,64627.5,87.878
2026-07-19 08:45:00,64627.6,64680.9,64627.5,64680.4,122.176
2026-07-19 08:50:00,64680.4,64723.5,64665.4,64669.4,173.995
2026-07-19 08:55:00,64669.4,64685.0,64661.0,64678.1,89.84
2026-07-19 09:00:00,64678.2,64694.0,64678.0,64686.1,117.346
2026-07-19 09:05:00,64686.1,64691.2,64645.8,64645.8,72.633
2026-07-19 09:10:00,64645.9,64650.6,64620.0,64620.0,122.076
2026-07-19 09:15:00,64620.1,64620.1,64522.6,64552.6,644.334
2026-07-19 09:20:00,64552.5,64556.1,64533.3,64540.4,230.966
